Region,Mean,Max,Min
L-Pir,0.2482011911551274,0.5274191498756409,-1.7315164062283614e-17
L-AVI,0.15783366522188028,0.2969464957714082,-1.2099209143272269e-17
L-AAIC,0.19191671910650993,0.4896729290485383,-1.804979229171802e-17
L-FOP1,0.20080472461482468,0.3627392649650575,-1.920831446858314e-17
L-FOP3,0.23688536310625144,0.390935689210892,-1.9320175883203784e-17
L-FOP2,0.2511478698261199,0.5479198098182682,-1.8309413395482026e-17
L-PFt,0.36344534565460596,0.9684204459190373,-1.8102767331043693e-17
L-AIP,0.38507024786626415,0.9094111919403077,-4.5294636314019485e-17
L-EC,0.30648053686791604,0.6612949967384341,-1.9880966198903887e-17
L-PreS,0.3149089190512322,0.6818198561668399,-2.0909504994153512e-17
L-H,0.32424188516781854,0.6051071882247925,-1.5772069937941556e-17
L-ProS,0.34592789622256503,0.8261349201202393,-5.2571062715676627e-17
L-PeEc,0.22892465948339197,0.628698229789734,-3.951073411055044e-17
L-STGa,0.19087118514514367,0.3596059083938599,-2.911162087319966e-17
L-PBelt,0.40114723119384,0.7965694665908816,-1.3833178977122065e-17
L-A5,0.31188766607277774,1.103085279464722,-6.15235143838024e-17
L-PHA1,0.46237432699707587,0.7551854848861697,-9.261977844121543e-18
L-PHA3,0.344552653532376,0.7331539392471313,-5.664069330716216e-17
L-STSda,0.2108869171052517,0.5091465115547184,-2.3068780422271766e-17
L-STSdp,0.394183842240059,0.8493874073028568,-1.3750215724757603e-17
L-STSvp,0.36333857246168505,1.1419429779052739,-3.811383801220036e-17
L-TGd,0.16940784340468265,0.5238882303237917,-3.485388239105671e-17
L-TE1a,0.19249846321815578,0.5324001312255862,-2.534783028593345e-17
L-TE1p,0.4379635601340188,1.2284817695617682,-6.341325845713113e-17
L-TE2a,0.23449770038753895,1.0034565925598147,-2.64034310777448e-17
L-TF,0.1862192310014951,0.7112208604812623,-4.519886045392701e-17
L-TE2p,0.42900370123473736,0.9743760824203496,-2.632043209839705e-17
L-PHT,0.5752464720312612,1.5679247379302979,-7.365846391806751e-17
L-PH,0.5101302530604943,1.4946410655975342,-5.272115917176975e-17
L-TPOJ1,0.4843510521906337,1.2948652505874634,-3.2687224493800667e-17
L-TPOJ2,0.6518458890845372,1.6349309682846076,-8.252851138200916e-17
L-TPOJ3,0.8895215344681162,1.8313493728637698,-5.761573970107885e-17
L-DVT,0.5618791486234548,1.7182432413101192,-2.0357245167559276e-17
L-PGp,0.8998210623259015,1.8637727499008176,-1.4339662809279072e-16
L-IP2,0.4186179181839245,1.1122584342956547,-7.49473821502269e-17
